OID_,STREETNAME,CLASS,ADMIN_TYPE,RT_NUMBER,ALTRTNUM1,ALTRTNUM2,ALTRTNUM3,ALTRTNUM4,ALTRT1TYPE,RDTYPE,ROUTE_ID,ROUTE_SYST,ROUTE_NUMB,ROUTE_DIRE,RD_SEG_ID,STREET_NAM,FM_ST_NAME,TO_ST_NAME,FACILITY,F_CLASS,URBAN_AREA,URBAN_TYPE,F_F_CLASS,JURISDICTN,NHS,FD_AID_RTE,FD_AID_RD,CONTROL,NUM_LANES,OPP_LANES,SURFACE_TP,SURFACE_WD,SHLDR_RT_W,SHLDR_RT_T,SHLDR_LT_W,SHLDR_LT_T,SHLDR_UL_W,SHLDR_UL_T,MED_WIDTH,MED_TYPE,CURB,LT_SIDEWLK,RT_SIDEWLK,OPERATION,SPEED_LIM,OP_DIR_SL,TRUCK,T_EXC_TYPE,T_EXC_TIME,TRK_NETWRK,TRUCK_RTE,ROW_WIDTH,STRUCT_CND,TERRAIN,TOLL_ROAD,MHS,MGIS_TOWN,CITY,COUNTY,HWY_DIST,MPO,RPA,RTA,MILE_COUNT,AADT,AADT_YEAR,AADT_DERIV,LENGTH_MI,LENGTH_FT,SHAPE_Leng,Shape_Length,shape_wkt
1463,SAINT EDWARD ROAD,5,0, , , , , ,0,5,L194248 NB,L,194248,NB,0,SAINT EDWARD ROAD,BAYSWATER STREET,DEAD END,1,0,09271,1,7,2,0, ,0,0,2,0,6,26.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,7,7,2,0,0, ,1,1,0,0,40.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.086806700000000,458.339356609999982,139.702115299000013,0.001348683534796,"MULTILINESTRING ((-71.003675055999963 42.384160150000071, -71.003308316999949 42.384734752000043, -71.002949451999939 42.385297008000066))"
1464,MASSACHUSETTS AVENUE,4,0, , , , , ,0,4,N120 EB,N,120,EB,52823,MASSACHUSETTS AVENUE,COLUMBIA ROAD,HUNTINGTON AVENUE,1,3,09271,1,3,2,15,  59,2,0,2,0,6,34.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,8,8,2,30,30, ,1,1,0,0,71.000000000000000,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,20599,2016,14,0.036395020000000,192.165712589999998,58.572226342500002,0.000591549988698,"MULTILINESTRING ((-71.063700535999942 42.323077847000036, -71.064100472999939 42.323513716000036))"
1465,PARKTON ROAD,5,0, , , , , ,0,5,L107590 NB,L,107590,NB,0,PARKTON ROAD,PERKINS STREET,PERKINS STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,24.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,8,8,2,0,0, ,1,1,0,0,40.000000000000000,2,3,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.101506910000000,535.956489390000002,163.359864686999998,0.001493582150458,"MULTILINESTRING ((-71.114501033999943 42.321235478000062, -71.114620892999937 42.321692780000035, -71.114819893999936 42.322320838000053, -71.114845703999947 42.322471724000025, -71.114845264999985 42.322543746000065, -71.114816399999938 42.322677570000053))"
1466,CORDIS STREET,5,0, , , , , ,0,5,L162506 NB,L,162506,NB,0,CORDIS STREET,WARREN STREET,HIGH STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,7,7,1,0,0, ,1,1,0,0,40.000000000000000,2,3,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.056212950000000,296.804367479999996,90.466152139499997,0.000862661803088,"MULTILINESTRING ((-71.062798205999968 42.375367879000066, -71.062662581999973 42.375685289000046, -71.06262187699997 42.375777365000033, -71.062498011999935 42.37599345600006, -71.062442278999981 42.376075048000075, -71.06238753599996 42.376116943000056))"
1467,VICTORY ROAD,5,0, , , , , ,0,5,L156716 EB,L,156716,EB,0,VICTORY ROAD,WILLIAM T MORRISSEY BOULEVARD,DEAD END,1,0,09271,1,7,2,0, ,0,0,2,0,6,34.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,8,8,2,0,0, ,1,1,0,0,50.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.027239080000000,143.822342579999997,43.837137692699997,0.000509724195216,"MULTILINESTRING ((-71.044955379999976 42.299747585000034, -71.044473910999955 42.29991493600005))"
1468,MEDFORD STREET,4,0, , , , , ,0,4,N1424 EB,N,1424,EB,44089,MEDFORD STREET,CHELSEA STREET,MAIN STREET,1,5,09271,1,4,2,0,  69,3,0,2,0,6,40.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,7,10,2,0,0, ,2,2,0,0,65.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,9974,2016,14,0.025142220000000,132.750922209999999,40.462562015700001,0.000491291432146,"MULTILINESTRING ((-71.05672293899994 42.379132037000034, -71.056231683999954 42.379138020000028))"
1469,ELMER ROAD,5,0, , , , , ,0,5,L108486 EB,L,108486,EB,0,ELMER ROAD,ADAMS STREET,CARRUTH STREET,1,0,09271,1,7,2,0, ,0,0,2,0,5,26.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,7,7,1,0,0, ,1,1,0,0,40.000000000000000,2,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.038808370000000,204.908197999999999,62.456143661200002,0.000736969729410,"MULTILINESTRING ((-71.058313826999949 42.286471291000055, -71.057602598999949 42.28666436900005))"
1470,WASHINGTON STREET,4,0, , , , , ,0,4,N081 EB,N,081,EB,44906,WASHINGTON STREET,NEWTON CITY LINE,BROOKLINE TOWN LINE,1,3,09271,1,3,2,15, 104,2,0,2,0,5,36.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,8,7,2,25,25, ,1,1,0,0,50.000000000000000,1,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10806,2016,14,0.064923710000000,342.797204509999972,104.484796903000003,0.001185802207814,"MULTILINESTRING ((-71.170864236999932 42.351833170000077, -71.170302638999942 42.351552477000041, -71.169973007999943 42.351411422000069, -71.169787921999955 42.35133718000003))"
1471,A STREET,4,0, , , , , ,0,4,N1789 NB,N,1789,NB,45424,A STREET,DORCHESTER AVENUE,CONGRESS STREET,1,5,09271,1,4,2,0,  51,3,0,2,0,6,40.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,7,7,2,0,0, ,1,1,0,0,54.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10784,2016,14,0.031065710000000,164.026952380000012,49.995515076399997,0.000516966673582,"MULTILINESTRING ((-71.05634213899998 42.341108489000078, -71.05596290799997 42.341459827000051))"
1472,KEVIN ROAD,5,0, , , , , ,0,5,L180492 EB,L,180492,EB,0,KEVIN ROAD,SUMNER STREET,DEAD END,1,0,09271,1,7,2,0, ,0,0,2,0,6,20.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,4,4,2,0,0, ,1,1,0,0,28.000000000000000,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.036835290000000,194.490332840000008,59.280772011099998,0.000707739796791,"MULTILINESTRING ((-71.062393959999952 42.316735239000025, -71.062328582999953 42.31673539600007, -71.062258289999988 42.316729537000072, -71.061724653999988 42.31661047800003), (-71.061724439999978 42.316610430000026, -71.061699971999985 42.316604971000061))"
1473,PARKMAN STREET,5,0, , , , , ,0,5,L195825 EB,L,195825,EB,0,PARKMAN STREET,STURTEVANT STREET,DORCHESTER AVENUE,1,0,09271,1,7,2,0, ,0,0,2,0,6,26.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,7,7,2,0,0, ,1,1,0,0,40.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.083503540000000,440.898700920000010,134.386192813999997,0.001584099674391,"MULTILINESTRING ((-71.056593632999977 42.297288929000047, -71.055803123999965 42.297502709000071, -71.055067384999973 42.297712971000067))"
1474,FAYWOOD AVENUE,5,0, , , , , ,0,5,L136184 EB,L,136184,EB,0,FAYWOOD AVENUE,ORIENT AVENUE,ORIENT AVENUE,1,0,09271,1,7,2,0, ,0,0,2,0,6,26.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,7,7,1,0,0, ,1,1,0,0,40.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.279402490000000,1475.245136409999986,449.655616887999997,0.005128725026840,"MULTILINESTRING ((-71.004579251999985 42.392032806000032, -71.004464691999942 42.39200002900003, -71.004378419999966 42.391975345000048, -71.004218357999946 42.391927355000064, -71.004138330999979 42.391903360000072, -71.004073744999971 42.391883996000047, -71.003838396999981 42.391803237000033, -71.003623888999982 42.391719992000048, -71.003176638999946 42.39152066500003, -71.001932968999938 42.390948670000057, -71.000170277999985 42.390144713000041, -70.999889791999976 42.38997678800007))"
